class_of_vehicle,duration_of_day,weather_type,count_of_vehicles,wi,vi,ti
bus,dusk,clear,3,1.0,1.2,0.97
bus,dawn,clear,36,1.0,1.2,0.97
bus,dawn,snow,48,1.4,1.2,1.0
car,day,snow,49,1.4,1.0,0.91
bike,dawn,snow,22,1.4,0.8,1.0
bus,dusk,rain,41,1.25,1.2,1.0
bus,dusk,fog,26,1.15,1.2,1.0
car,dusk,rain,42,1.25,1.0,1.0
bus,night,fog,32,1.15,1.2,0.81
bike,dawn,fog,7,1.15,0.8,1.0
car,dawn,snow,38,1.4,1.0,1.0
bus,night,rain,22,1.25,1.2,0.92
bus,dawn,snow,34,1.4,1.2,1.0
car,dusk,snow,12,1.4,1.0,1.0
car,dawn,rain,25,1.25,1.0,1.0
bike,night,snow,18,1.4,0.8,0.81
car,dusk,clear,22,1.0,1.0,0.97
car,day,rain,13,1.25,1.0,0.95
car,dawn,fog,21,1.15,1.0,1.0
bike,dawn,clear,4,1.0,0.8,0.97
bike,day,snow,34,1.4,0.8,0.91
bike,dusk,rain,1,1.25,0.8,1.0
bike,day,snow,41,1.4,0.8,0.91
car,day,clear,8,1.0,1.0,1.0
bike,dusk,rain,40,1.25,0.8,1.0
bus,dawn,fog,21,1.15,1.2,1.0
bike,dawn,rain,19,1.25,0.8,1.0
car,dawn,rain,28,1.25,1.0,1.0
bike,dusk,clear,23,1.0,0.8,0.97
car,day,fog,42,1.15,1.0,0.91
bus,dusk,rain,35,1.25,1.2,1.0
car,day,snow,32,1.4,1.0,0.91
bike,dawn,snow,38,1.4,0.8,1.0
bus,dusk,rain,2,1.25,1.2,1.0
bike,night,rain,34,1.25,0.8,0.92
car,dawn,snow,12,1.4,1.0,1.0
car,night,snow,6,1.4,1.0,0.81
bus,dawn,rain,46,1.25,1.2,1.0
bike,day,rain,34,1.25,0.8,0.95
car,night,rain,11,1.25,1.0,0.92
bike,dawn,fog,9,1.15,0.8,1.0
bus,day,rain,42,1.25,1.2,0.95
bus,dawn,fog,28,1.15,1.2,1.0
car,day,fog,12,1.15,1.0,0.91
bus,dusk,snow,4,1.4,1.2,1.0
bike,dawn,clear,25,1.0,0.8,0.97
bike,day,clear,29,1.0,0.8,1.0
bike,dusk,rain,35,1.25,0.8,1.0
bike,dusk,rain,15,1.25,0.8,1.0
bus,dawn,fog,21,1.15,1.2,1.0
car,dawn,clear,47,1.0,1.0,0.97
car,dusk,clear,16,1.0,1.0,0.97
car,dawn,fog,38,1.15,1.0,1.0
bike,night,snow,18,1.4,0.8,0.81
bike,dusk,fog,18,1.15,0.8,1.0
bike,dawn,fog,13,1.15,0.8,1.0
bike,dawn,snow,2,1.4,0.8,1.0
bus,dusk,fog,9,1.15,1.2,1.0
bike,dawn,clear,8,1.0,0.8,0.97
bike,dawn,rain,47,1.25,0.8,1.0
bus,day,rain,5,1.25,1.2,0.95
bus,dusk,fog,19,1.15,1.2,1.0
car,dusk,clear,20,1.0,1.0,0.97
bus,night,rain,10,1.25,1.2,0.92
bike,dusk,clear,45,1.0,0.8,0.97
bus,day,clear,16,1.0,1.2,1.0
car,dusk,snow,32,1.4,1.0,1.0
car,dawn,clear,17,1.0,1.0,0.97
bus,night,clear,48,1.0,1.2,0.96
bike,dusk,snow,21,1.4,0.8,1.0
bike,day,clear,41,1.0,0.8,1.0
car,night,fog,10,1.15,1.0,0.81
bus,night,fog,31,1.15,1.2,0.81
bus,night,clear,10,1.0,1.2,0.96
bike,day,snow,14,1.4,0.8,0.91
bus,day,clear,41,1.0,1.2,1.0
bike,day,rain,46,1.25,0.8,0.95
bus,day,clear,7,1.0,1.2,1.0
bike,night,clear,17,1.0,0.8,0.96
car,dusk,rain,19,1.25,1.0,1.0
bus,dawn,rain,50,1.25,1.2,1.0
bus,dusk,clear,14,1.0,1.2,0.97
bus,dusk,rain,12,1.25,1.2,1.0
car,dawn,fog,23,1.15,1.0,1.0
bike,night,snow,31,1.4,0.8,0.81
bike,dawn,rain,49,1.25,0.8,1.0
bike,day,clear,11,1.0,0.8,1.0
bus,night,rain,28,1.25,1.2,0.92
bike,night,rain,16,1.25,0.8,0.92
car,dusk,rain,20,1.25,1.0,1.0
bus,night,rain,27,1.25,1.2,0.92
bike,dusk,clear,44,1.0,0.8,0.97
bus,day,fog,39,1.15,1.2,0.91
car,night,clear,34,1.0,1.0,0.96
car,night,fog,39,1.15,1.0,0.81
bike,dawn,clear,18,1.0,0.8,0.97
bus,dawn,fog,33,1.15,1.2,1.0
bike,dawn,rain,3,1.25,0.8,1.0
bus,dusk,rain,36,1.25,1.2,1.0
car,dusk,fog,17,1.15,1.0,1.0
bike,day,rain,9,1.25,0.8,0.95
bus,dawn,clear,29,1.0,1.2,0.97
bike,night,rain,9,1.25,0.8,0.92
car,dusk,snow,6,1.4,1.0,1.0
bus,dawn,clear,39,1.0,1.2,0.97
bike,dawn,rain,11,1.25,0.8,1.0
car,dawn,snow,41,1.4,1.0,1.0
bike,night,snow,41,1.4,0.8,0.81
bus,dawn,rain,34,1.25,1.2,1.0
bus,night,fog,7,1.15,1.2,0.81
bus,dawn,fog,2,1.15,1.2,1.0
bike,dawn,snow,17,1.4,0.8,1.0
bus,day,clear,32,1.0,1.2,1.0
car,dawn,clear,44,1.0,1.0,0.97
bike,night,snow,25,1.4,0.8,0.81
bus,dawn,rain,32,1.25,1.2,1.0
car,night,clear,24,1.0,1.0,0.96
bus,dusk,rain,33,1.25,1.2,1.0
car,dusk,fog,8,1.15,1.0,1.0
car,day,fog,28,1.15,1.0,0.91
car,dusk,fog,47,1.15,1.0,1.0
bike,day,fog,37,1.15,0.8,0.91
car,day,rain,27,1.25,1.0,0.95
bus,dawn,snow,14,1.4,1.2,1.0
bus,dawn,fog,21,1.15,1.2,1.0
bus,dawn,clear,31,1.0,1.2,0.97
car,day,fog,47,1.15,1.0,0.91
car,day,clear,50,1.0,1.0,1.0
bike,dusk,rain,50,1.25,0.8,1.0
car,dusk,fog,4,1.15,1.0,1.0
bus,night,clear,47,1.0,1.2,0.96
car,dawn,fog,42,1.15,1.0,1.0
bus,day,fog,43,1.15,1.2,0.91
bike,night,snow,19,1.4,0.8,0.81
bus,dawn,clear,19,1.0,1.2,0.97
bike,dawn,fog,15,1.15,0.8,1.0
bike,night,clear,42,1.0,0.8,0.96
car,dawn,snow,1,1.4,1.0,1.0
car,dawn,rain,44,1.25,1.0,1.0
bus,dusk,snow,15,1.4,1.2,1.0
bus,night,clear,10,1.0,1.2,0.96
car,dusk,fog,38,1.15,1.0,1.0
car,dawn,snow,27,1.4,1.0,1.0
car,night,snow,41,1.4,1.0,0.81
car,dusk,fog,47,1.15,1.0,1.0
bus,dawn,fog,45,1.15,1.2,1.0
bike,dawn,fog,11,1.15,0.8,1.0
car,day,fog,10,1.15,1.0,0.91
bus,dawn,clear,20,1.0,1.2,0.97
bike,day,fog,29,1.15,0.8,0.91
bike,day,fog,16,1.15,0.8,0.91
bike,dusk,snow,31,1.4,0.8,1.0
bus,dusk,snow,45,1.4,1.2,1.0
bike,day,rain,44,1.25,0.8,0.95
bus,day,clear,35,1.0,1.2,1.0
bus,night,rain,5,1.25,1.2,0.92
bus,night,rain,1,1.25,1.2,0.92
car,day,clear,12,1.0,1.0,1.0
bike,dawn,clear,8,1.0,0.8,0.97
bus,day,fog,24,1.15,1.2,0.91
car,dawn,snow,40,1.4,1.0,1.0
bike,dawn,snow,18,1.4,0.8,1.0
bus,dawn,rain,11,1.25,1.2,1.0
bike,dusk,clear,12,1.0,0.8,0.97
bus,dawn,snow,21,1.4,1.2,1.0
bike,dawn,rain,50,1.25,0.8,1.0
bike,day,snow,11,1.4,0.8,0.91
car,dawn,fog,13,1.15,1.0,1.0
bike,dawn,fog,48,1.15,0.8,1.0
bike,dawn,snow,37,1.4,0.8,1.0
bus,night,clear,8,1.0,1.2,0.96
bike,dawn,rain,17,1.25,0.8,1.0
bike,dawn,snow,42,1.4,0.8,1.0
bus,night,clear,36,1.0,1.2,0.96
bus,dusk,rain,25,1.25,1.2,1.0
bus,dawn,clear,39,1.0,1.2,0.97
car,dawn,rain,37,1.25,1.0,1.0
bus,day,rain,16,1.25,1.2,0.95
bike,dusk,snow,37,1.4,0.8,1.0
bike,dusk,rain,3,1.25,0.8,1.0
car,night,clear,16,1.0,1.0,0.96
car,day,fog,11,1.15,1.0,0.91
car,day,fog,3,1.15,1.0,0.91
bike,dusk,rain,30,1.25,0.8,1.0
bus,day,rain,31,1.25,1.2,0.95
bus,dusk,fog,13,1.15,1.2,1.0
car,dawn,snow,18,1.4,1.0,1.0
car,day,snow,24,1.4,1.0,0.91
bus,dawn,fog,23,1.15,1.2,1.0
car,night,clear,5,1.0,1.0,0.96
car,day,fog,33,1.15,1.0,0.91
bike,day,clear,47,1.0,0.8,1.0
car,dusk,snow,40,1.4,1.0,1.0
car,night,fog,11,1.15,1.0,0.81
bus,day,snow,24,1.4,1.2,0.91
bus,day,snow,1,1.4,1.2,0.91
car,night,rain,27,1.25,1.0,0.92
car,night,clear,36,1.0,1.0,0.96
car,day,clear,15,1.0,1.0,1.0
bike,dusk,rain,13,1.25,0.8,1.0
car,day,snow,28,1.4,1.0,0.91
car,night,rain,33,1.25,1.0,0.92
bike,day,snow,19,1.4,0.8,0.91
car,day,fog,17,1.15,1.0,0.91
bike,dusk,fog,31,1.15,0.8,1.0
bike,dusk,clear,29,1.0,0.8,0.97
bike,dusk,fog,34,1.15,0.8,1.0
car,day,rain,21,1.25,1.0,0.95
bike,day,clear,21,1.0,0.8,1.0
bus,dawn,clear,19,1.0,1.2,0.97
car,dusk,snow,25,1.4,1.0,1.0
bike,dusk,clear,26,1.0,0.8,0.97
bike,dawn,rain,31,1.25,0.8,1.0
bus,dusk,fog,27,1.15,1.2,1.0
car,dawn,clear,38,1.0,1.0,0.97
bus,dawn,clear,22,1.0,1.2,0.97
bus,dawn,snow,41,1.4,1.2,1.0
car,dawn,rain,34,1.25,1.0,1.0
car,dusk,fog,46,1.15,1.0,1.0
car,dawn,fog,29,1.15,1.0,1.0
bike,night,fog,14,1.15,0.8,0.81
bike,night,rain,22,1.25,0.8,0.92
bike,dawn,rain,12,1.25,0.8,1.0
car,dawn,rain,2,1.25,1.0,1.0
bike,dusk,clear,27,1.0,0.8,0.97
car,night,snow,48,1.4,1.0,0.81
bike,night,snow,29,1.4,0.8,0.81
bike,dusk,fog,42,1.15,0.8,1.0
bus,day,fog,7,1.15,1.2,0.91
bike,night,clear,39,1.0,0.8,0.96
bus,dusk,snow,3,1.4,1.2,1.0
bus,dawn,rain,46,1.25,1.2,1.0
car,night,clear,22,1.0,1.0,0.96
car,dawn,fog,6,1.15,1.0,1.0
bus,night,rain,3,1.25,1.2,0.92
bike,night,rain,31,1.25,0.8,0.92
bike,day,fog,27,1.15,0.8,0.91
car,night,fog,26,1.15,1.0,0.81
bus,night,rain,45,1.25,1.2,0.92
bike,day,rain,45,1.25,0.8,0.95
bike,dawn,snow,29,1.4,0.8,1.0
car,dawn,clear,28,1.0,1.0,0.97
bus,night,fog,32,1.15,1.2,0.81
car,dawn,rain,48,1.25,1.0,1.0
bike,day,rain,13,1.25,0.8,0.95
bus,night,clear,35,1.0,1.2,0.96
bike,dusk,rain,24,1.25,0.8,1.0
bus,dawn,rain,5,1.25,1.2,1.0
bus,dusk,snow,2,1.4,1.2,1.0
bike,day,fog,24,1.15,0.8,0.91
bus,dawn,fog,33,1.15,1.2,1.0
bike,dawn,clear,46,1.0,0.8,0.97
